ham	Hello, how are you?
spam	You won a $1000 gift card!
ham	Can we meet tomorrow for lunch?
spam	URGENT! Your account needs verification. Click here now!
ham	Thanks for your help with the project
spam	CONGRATULATIONS! You've been selected for a free iPhone!
ham	What time is the meeting?
spam	Limited time offer! Buy now and get 50% off!
ham	I'll be there in 10 minutes
spam	You've won a lottery! Send your details to claim prize!
ham	Don't forget to bring the documents
spam	URGENT: Your bank account needs immediate attention! 
